"PACKAGE","VERSION","LICENSE","LICENSE FILES","SOURCE ARCHIVE","SOURCE SITE","DEPENDENCIES WITH LICENSES"
"gcc-final","14.4.0","GPL-3.0-with-GCC-exception","COPYING.RUNTIME","gcc-14.4.0.tar.xz","https://ftpmirror.gnu.org/gcc/gcc-14.4.0","linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"musl","1.2.6","MIT","COPYRIGHT","musl-1.2.6.tar.gz","http://musl.libc.org/releases","linux-headers [GPL-2.0] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
"linux-headers","6.18.34","GPL-2.0","COPYING LICENSES/preferred/GPL-2.0 LICENSES/exceptions/Linux-syscall-note","linux-6.18.34.tar.xz","https://cdn.kernel.org/pub/linux/kernel/v6.x","skeleton-init-common [unknown] skeleton-init-none [unknown]"
"busybox","1.38.0","GPL-2.0, bzip2-1.0.4","LICENSE archival/libarchive/bz/LICENSE","busybox-1.38.0.tar.bz2","https://www.busybox.net/downloads","gcc-final [GPL-3.0-with-GCC-exception] linux-headers [GPL-2.0] musl [MIT] musl-compat-headers [BSD-3-Clause, Public Domain or CC0] skeleton-init-common [unknown] skeleton-init-none [unknown]"
